model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-1.7B,rte,8,13,0.69140625,0.8125,0.12109375,16.550601399998413,33.03566242800298,16.485061028004566
Qwen/Qwen3-1.7B,rte,8,21,0.734375,0.80859375,0.07421875,12.912083153998537,31.943277670005045,19.031194516006508
Qwen/Qwen3-1.7B,rte,8,42,0.6953125,0.80859375,0.11328125,13.334607562996098,32.77645053300512,19.44184297000902
Qwen/Qwen3-1.7B,rte,16,13,0.68359375,0.81640625,0.1328125,13.357980022003176,33.850558311001805,20.49257828899863
Qwen/Qwen3-1.7B,rte,16,21,0.71484375,0.81640625,0.1015625,14.120453438001277,33.073383031005505,18.952929593004228
Qwen/Qwen3-1.7B,rte,16,42,0.6796875,0.81640625,0.13671875,14.34196810600406,33.120620533001784,18.778652426997724
Qwen/Qwen3-1.7B,rte,32,13,0.71875,0.82421875,0.10546875,16.589233605001937,34.98889880300703,18.399665198005096
Qwen/Qwen3-1.7B,rte,32,21,0.76171875,0.83203125,0.0703125,19.239613066005404,35.4212145019992,16.181601435993798
Qwen/Qwen3-1.7B,rte,32,42,0.69921875,0.828125,0.12890625,17.618619336004485,33.85299392300658,16.234374587002094
Qwen/Qwen3-1.7B,trec,1,13,0.4921875,0.421875,-0.0703125,26.594236632998218,35.93868467499851,9.344448042000295
Qwen/Qwen3-1.7B,trec,1,21,0.484375,0.36328125,-0.12109375,26.855657224994502,36.273954719006724,9.418297494012222
Qwen/Qwen3-1.7B,trec,1,42,0.421875,0.3515625,-0.0703125,25.752388779001194,36.01744986799167,10.265061088990478
Qwen/Qwen3-1.7B,trec,2,13,0.59765625,0.4140625,-0.18359375,26.853487872998812,36.11421925800096,9.260731385002146
Qwen/Qwen3-1.7B,trec,2,21,0.4609375,0.35546875,-0.10546875,27.059731519999332,36.936619481006346,9.876887961007014
Qwen/Qwen3-1.7B,trec,2,42,0.4609375,0.33203125,-0.12890625,26.205099696002435,36.33809596300853,10.132996267006092
Qwen/Qwen3-1.7B,trec,4,13,0.609375,0.4140625,-0.1953125,27.058364108001115,36.15681355299603,9.098449444994912
Qwen/Qwen3-1.7B,trec,4,21,0.56640625,0.35546875,-0.2109375,27.964868232003937,36.68166850500711,8.716800273003173
